calidad,pH,alcohol,interaccion
5,3.16,9.4,29.704000000000004
5,3.53,10.9,38.477
5,3.54,10.9,38.586
7,3.42,10.5,35.91
5,3.42,9.4,32.148
5,3.24,9.4,30.456000000000003
5,3.63,13,47.19
5,3.63,13,47.19
6,3.4,9.8,33.32
6,3.22,9.9,31.878000000000004
5,3.19,9.6,30.624
5,3.23,9.5,30.685
5,3.48,9.2,32.016
5,3.33,9.5,31.635
5,3.32,9.5,31.54
5,3.19,9.6,30.624
5,3.23,9.5,30.685
6,3.68,14,51.52
5,3.34,9.4,31.396
6,3.68,14,51.52
5,3.17,9.4,29.798000000000002
5,3.54,10,35.4
5,3.11,9.3,28.923000000000002
6,3.42,10.2,34.884
6,3.53,10.5,37.065
6,3.33,10.3,34.29900000000001
4,2.74,9.4,25.756000000000004
5,3.35,10.1,33.835
5,3.35,10.1,33.835
5,3.42,10.5,35.91
5,3.42,10.5,35.91
5,3.42,10.5,35.91
5,3.42,10.5,35.91
5,3.48,9.3,32.364000000000004
6,3.59,9.3,33.387
5,3.2,9.6,30.72
4,3.17,9.2,29.163999999999998
6,3.33,10,33.3
5,3.37,9.4,31.678
5,3.37,9.4,31.678
5,3.19,9.5,30.305
5,3.34,10.2,34.068
4,3.37,9,30.330000000000002
6,3.47,10.4,36.088
5,3,9.5,28.5
4,3.36,9.1,30.575999999999997
6,3.29,9.2,30.267999999999997
6,3.29,9.2,30.267999999999997
6,3.42,11.5,39.33
5,3.33,9.5,31.635
5,3.35,9.5,31.825
5,3.33,9.5,31.635
6,3.58,10.5,37.59
5,3.48,9.6,33.408
5,3.19,9.5,30.305
5,3.19,9.5,30.305
5,3.12,9.3,29.016000000000002
5,3.44,9.3,31.992
5,3.54,9.3,32.922000000000004
6,3.52,9.3,32.736000000000004
5,3.26,9.7,31.621999999999996
5,3.34,9.2,30.727999999999998
5,3.39,9.7,32.882999999999996
5,3.2,9.5,30.400000000000002
5,3.2,9.5,30.400000000000002
5,3.23,9.4,30.362000000000002
6,3.57,9.8,34.986000000000004
5,3.28,9.5,31.159999999999997
5,3.28,9.7,31.815999999999995
5,3.28,9.7,31.815999999999995
5,3.25,9.4,30.55
5,3.46,10.2,35.291999999999994
6,3.11,10.1,31.410999999999998
7,3.57,13,46.41
4,3.51,11.4,40.013999999999996
7,3.22,10.3,33.166000000000004
5,3.04,9.3,28.272000000000002
5,3.36,9.5,31.919999999999998
5,3.34,9.2,30.727999999999998
6,3.34,9.2,30.727999999999998
7,3.2,10.8,34.56
7,3.2,10.8,34.56
5,3.29,9.3,30.597
5,3.22,9.4,30.268000000000004
7,3.31,10.5,34.755
6,3.3,12.4,40.92
6,3.35,10,33.5
6,3.21,10.2,32.742
5,3.3,10.1,33.33
6,3.24,9.8,31.752000000000006
5,3.34,10.5,35.07
5,3.14,11,34.54
5,3.36,9.1,30.575999999999997
5,3.39,9.7,32.882999999999996
5,3.3,9.5,31.349999999999998
6,3.34,9.4,31.396
5,3.15,9.4,29.61
5,3.42,9.5,32.49
6,3.28,10,32.8
4,3.31,10.4,34.424
6,3.37,10.5,35.385
6,3.04,9.5,28.88
5,3.39,9.8,33.222
6,3.37,10.5,35.385
5,3.46,11,38.06
7,3.54,12.2,43.187999999999995
6,3.37,9.9,33.363
6,3.34,9.6,32.064
5,3.46,11,38.06
6,3.32,9,29.88
6,3.37,9,30.330000000000002
6,3.37,9,30.330000000000002
6,3.37,9.2,31.003999999999998
6,3.37,9,30.330000000000002
6,3.32,9,29.88
5,3,9.3,27.900000000000002
6,3.14,10.9,34.226
6,3.08,9.8,30.184000000000005
7,3.07,9.2,28.243999999999996
7,3.07,9.2,28.243999999999996
6,3.61,9.9,35.739
5,3.38,9.5,32.11
5,3.2,9.3,29.760000000000005
6,3.35,9.8,32.830000000000005
6,3.61,9.9,35.739
6,3.22,10,32.2
6,3.47,9.9,34.353
5,3.17,10.5,33.285
5,3.23,9.5,30.685
6,3.47,9.9,34.353
5,3.26,9.3,30.318
5,3.22,9.2,29.624
5,3.49,9.2,32.108
5,3.06,9.4,28.764000000000003
7,3.36,10.5,35.28
5,3.29,9.3,30.597
4,3.35,9.4,31.490000000000002
5,3.34,10,33.4
5,3.28,9.3,30.504
5,3.08,10.9,33.572
7,3.2,10.2,32.64
4,3.6,9.8,35.28
8,3.35,12.8,42.88
6,3.69,9.4,34.686
6,3.28,10.1,33.128
6,3.36,10.7,35.952
6,3.28,10.1,33.128
5,3.22,10.1,32.522
5,3.31,9.4,31.114
5,3.38,9.4,31.772
6,3.36,10.7,35.952
6,3.69,9.4,34.686
6,3.28,10.1,33.128
8,3.23,12.6,40.698
7,3.38,10.5,35.49
6,3.12,9.3,29.016000000000002
7,3.25,9.9,32.175000000000004
5,3.36,9.1,30.575999999999997
7,3.38,10.5,35.49
5,3.31,9.8,32.438
5,3.31,9.8,32.438
6,3.1,10.3,31.930000000000003
6,3.37,10.3,34.711000000000006
7,3.34,10.6,35.403999999999996
5,3.2,9.2,29.439999999999998
7,3.34,10.6,35.403999999999996
5,3.3,10.5,34.65
6,3.22,10.3,33.166000000000004
6,3.41,10.1,34.441
6,3.05,9.5,28.974999999999998
5,3.05,9.5,28.974999999999998
5,3.16,9.9,31.284000000000002
5,3.67,9.6,35.232
5,3.67,9.7,35.599
5,3.68,9.6,35.328
6,3.38,10.7,36.166
6,3.22,10.1,32.522
5,3.51,10,35.099999999999994
5,3.39,9.5,32.205
5,3.2,9.2,29.439999999999998
6,3.12,9.3,29.016000000000002
5,3.36,9.4,31.584
6,3.19,9.5,30.305
6,3.19,9.5,30.305
6,3.41,9.5,32.395
6,3.12,9.3,29.016000000000002
6,3.27,9.4,30.738000000000003
6,3.32,9.5,31.54
5,3.3,9.4,31.02
5,3.39,11,37.29
6,3.42,11,37.62
5,3.3,10.1,33.33
6,3.3,10.4,34.32
7,3.37,11.5,38.755
6,3.3,10.4,34.32
7,3.37,11.5,38.755
5,3.24,9.7,31.428
5,3.29,9.3,30.597
6,3.28,9.5,31.159999999999997
6,3.16,9.2,29.072
6,3.16,9.2,29.072
7,3.05,11.5,35.074999999999996
5,3.28,11.5,37.72
6,3.16,9.7,30.651999999999997
5,3.18,9.5,30.21
6,3.23,12.5,40.375
6,3.23,12.5,40.375
6,3.22,9.4,30.268000000000004
5,3.13,11,34.43
7,3.34,11.7,39.077999999999996
7,3.17,12.2,38.674
6,3.35,12.5,41.875
5,3.31,10.3,34.093
6,3.16,11.5,36.34
7,3.11,9.8,30.478
6,3.12,9.2,28.703999999999997
6,3.21,11.3,36.273
6,3.3,9.8,32.34
6,3.3,9.8,32.34
6,3.12,10.7,33.384
5,3.6,9.9,35.64
7,3.58,12.3,44.034000000000006
6,3.02,12,36.24
6,3.11,10,31.099999999999998
6,3.36,9.4,31.584
6,3.28,9.9,32.472
6,3.35,9.4,31.490000000000002
5,3.27,9.3,30.411
5,3.18,13,41.34
6,3.25,11.9,38.675000000000004
6,3.55,12.8,45.44
5,3.26,11,35.86
7,3.24,11.7,37.908
7,3.15,10.4,32.76
6,3.17,9.8,31.066000000000003
5,3.19,9.4,29.986
6,3.37,9.9,33.363
5,3.05,10,30.5
5,2.99,10.2,30.498
7,3.07,10,30.7
6,3.26,11.8,38.467999999999996
7,3.07,10,30.7
5,3.16,9,28.44
5,3.18,9.4,29.892000000000003
7,3.2,12,38.400000000000006
5,3.57,9.9,35.342999999999996
6,3.32,8.7,28.883999999999997
6,3.32,10.6,35.192
5,3.05,9.2,28.059999999999995
6,3.01,10.8,32.508
7,3.01,11.8,35.518
6,3.26,11,35.86
7,3.2,12,38.400000000000006
6,3.11,13.3,41.363
6,3.31,10.8,35.748000000000005
6,3.21,9.4,30.174
6,3.06,10,30.6
6,3.21,9.4,30.174
6,3.21,9.4,30.174
5,3.42,9.2,31.464
6,3.43,9.7,33.271
6,3.41,9.2,31.372
6,3.31,9.6,31.776
6,3.43,9.2,31.555999999999997
7,3.19,10,31.9
8,3.56,12.9,45.924
6,3.06,10,30.6
5,3.18,9.5,30.21
5,3.16,9.1,28.756
5,3.03,9.9,29.997
7,3.22,13,41.86
5,3.47,9.9,34.353
6,3.18,11,34.980000000000004
6,3.18,11,34.980000000000004
5,3.1,9.4,29.14
5,3.47,9.9,34.353
6,3.29,10.8,35.532000000000004
6,3.1,10.5,32.550000000000004
6,3.15,10.5,33.074999999999996
5,3.26,9.1,29.665999999999997
6,3.36,10.1,33.936
6,3.24,10.8,34.992000000000004
7,3.18,10.8,34.344
6,3.19,11.3,36.047000000000004
4,3.05,9.6,29.279999999999998
6,3.38,9.5,32.11
5,3.38,9.5,32.11
5,3.27,9.3,30.411
7,3.27,11.7,38.259
5,3.26,9.5,30.97
5,3.32,9.3,30.876
6,3.26,11.7,38.141999999999996
5,3.44,10.5,36.12
6,3.24,10.4,33.696000000000005
5,3.62,9.9,35.838
7,3.28,11.8,38.704
7,3.52,12.3,43.296
5,3.36,10.9,36.624
7,3.15,11,34.65
5,3.36,10.9,36.624
7,3.52,12.3,43.296
6,3.49,11.4,39.786
6,3.26,10.6,34.556
5,3.24,9.3,30.132000000000005
6,3.1,10.4,32.24
7,3.15,11,34.65
5,3.25,9.2,29.9
6,3,12.8,38.400000000000006
5,3.16,9.5,30.020000000000003
6,3.15,9.9,31.185
5,3.16,9.5,30.020000000000003
6,3.26,10.2,33.251999999999995
6,3.17,11.2,35.504
6,3.15,9.9,31.185
5,3.08,9.3,28.644000000000002
8,2.88,9.8,28.224
6,3.06,11.3,34.578
7,2.95,11.2,33.04
7,3.23,11.6,37.467999999999996
7,3.57,12.5,44.625
6,3.23,10.1,32.623
5,3.1,10.5,32.550000000000004
5,3.22,11.2,36.064
6,3.2,10.2,32.64
6,3.1,10.8,33.480000000000004
6,3.1,10.8,33.480000000000004
6,3.06,9.1,27.846
6,3.44,10,34.4
7,3.26,11.2,36.51199999999999
5,3.5,11.1,38.85
8,3.22,13.4,43.148
5,3.37,10.3,34.711000000000006
5,3.28,9.6,31.487999999999996
7,3.26,11.2,36.51199999999999
3,3.25,9,29.25
6,3.35,11.3,37.855000000000004
5,3.26,9.3,30.318
5,3.18,11.8,37.524
5,3.08,9,27.72
6,2.98,9.2,27.415999999999997
5,3.48,9.7,33.756
6,3.16,11.5,36.34
6,3.32,14,46.48
6,3.17,9.2,29.163999999999998
5,3.2,9.8,31.360000000000003
5,3.05,10.6,32.33
6,3.2,11.4,36.480000000000004
6,3.15,10.4,32.76
5,3.26,10.6,34.556
6,3.2,9.4,30.080000000000002
5,3.14,10.2,32.028
5,3.28,9.7,31.815999999999995
6,3.18,11,34.980000000000004
5,3.14,10.2,32.028
6,3.19,10.1,32.219
5,3.12,9.2,28.703999999999997
8,3.15,11.7,36.855
5,3.04,9.4,28.576
5,3.04,9.4,28.576
6,3.06,13.4,41.004000000000005
5,3.17,10,31.7
5,3.17,10,31.7
6,3.17,10,31.7
7,3.32,10.8,35.856
6,3.34,10.2,34.068
6,3.31,10.6,35.086
7,3.34,13.3,44.422
7,3.32,13.4,44.488
6,3.48,11.6,40.368
6,3.44,12.1,41.623999999999995
8,3.15,11,34.65
6,3.43,9,30.87
5,3.32,11.1,36.852
8,3.15,11,34.65
6,3.48,11.6,40.368
6,3.43,9,30.87
7,3.17,12,38.04
7,3.17,12,38.04
7,3.18,10.9,34.662000000000006
7,3.21,10.8,34.668
7,3.16,12.5,39.5
7,3.25,10.8,35.1
6,3.17,9.5,30.115
6,3.18,10.2,32.436
7,3.04,11.4,34.656
5,3.02,9.5,28.69
6,3.18,10.2,32.436
6,3.03,9.7,29.390999999999995
7,3.09,11.8,36.462
7,3.09,11.8,36.462
5,3.31,9.3,30.783
6,3.25,11.9,38.675000000000004
3,3.16,8.4,26.544000000000004
6,3.22,11.7,37.674
5,3.36,11,36.96
6,3.42,10,34.2
5,3.48,9.1,31.668
5,3.38,9.8,33.124
5,3.22,9.4,30.268000000000004
5,3.23,9.5,30.685
5,3.24,9.9,32.076
5,3.36,11,36.96
6,3.39,11.4,38.646
6,3.34,8.7,29.057999999999996
5,3.09,9.4,29.046
6,3.41,10.3,35.123000000000005
5,3.16,10.3,32.548
5,3.16,10.3,32.548
6,3.22,12.8,41.21600000000001
6,3.28,10,32.8
6,3.41,10.3,35.123000000000005
5,3.09,9.4,29.046
6,3.37,10.7,36.059
7,3.2,12,38.400000000000006
5,3.22,11.2,36.064
5,3.26,9.6,31.295999999999996
6,3.21,11,35.31
5,3.12,9.9,30.888
6,3.06,11,33.660000000000004
6,2.86,8.4,24.024
5,3.08,9.1,28.028
6,3.45,9.5,32.775
6,3.26,10.7,34.882
6,3.12,10.4,32.448
6,3.27,9.4,30.738000000000003
6,3.33,9.5,31.635
6,3.19,10,31.9
6,3.12,10,31.200000000000003
5,3.74,11.5,43.010000000000005
5,2.92,11.1,32.412
5,2.92,11.1,32.412
6,3.07,11.7,35.919
5,2.92,11.1,32.412
6,3.07,11.7,35.919
6,3.3,12.7,41.91
5,3.14,11.4,35.796
5,3.23,9.2,29.715999999999998
5,3.08,9.2,28.336
6,3.31,10.1,33.431
6,3.3,12.7,41.91
5,3.14,11.4,35.796
6,3.32,9,29.88
6,3.32,9,29.88
6,3.31,10.7,35.417
6,3.57,11.7,41.769
6,3.32,11,36.519999999999996
6,3.57,11.7,41.769
5,3.14,10.4,32.656000000000006
4,3.3,9.6,31.679999999999996
6,3.19,10,31.9
6,3.2,10.2,32.64
4,3.34,10,33.4
5,3.3,9.5,31.349999999999998
5,3.29,9.8,32.242000000000004
6,3.14,9.8,30.772000000000002
5,3.19,9.6,30.624
5,3.19,9.6,30.624
5,3.19,9.2,29.348
7,2.98,9.9,29.502000000000002
7,3.3,10.7,35.309999999999995
6,3.47,9.6,33.312
7,3.12,10.6,33.072
5,3.26,9.3,30.318
8,3.72,14,52.080000000000005
7,3.05,10.5,32.025
5,3.35,9.7,32.495
6,3.12,11.5,35.88
5,3.35,9.7,32.495
5,3.29,9,29.61
5,3.4,9.5,32.3
5,3.27,9.3,30.411
6,3.04,9.3,28.272000000000002
6,3.09,10,30.9
6,3.2,9.8,31.360000000000003
6,3,9.3,27.900000000000002
4,3.26,10,32.599999999999994
6,3.1,9,27.900000000000002
5,3.3,9.3,30.69
6,3.1,9,27.900000000000002
6,3.17,9.1,28.846999999999998
6,3.31,9.2,30.451999999999998
7,3.34,12.2,40.748
6,3.31,10.5,34.755
6,3.32,10.4,34.528
6,3.56,12.7,45.211999999999996
5,3.39,9.2,31.188
5,2.98,9.4,28.012
6,3.32,10,33.199999999999996
5,3.26,9.8,31.948
6,2.87,10.2,29.273999999999997
5,3.5,9.7,33.949999999999996
5,3.5,9.7,33.949999999999996
6,3.03,9.8,29.694
5,3.13,10.2,31.926
5,3.09,9.3,28.737000000000002
5,3.27,9.4,30.738000000000003
5,3.28,9.4,30.832
5,3.13,9.5,29.735
6,3.49,12.1,42.229
5,3.46,10.2,35.291999999999994
5,3.46,10.2,35.291999999999994
5,3.36,9.1,30.575999999999997
5,3.36,9.1,30.575999999999997
6,3.27,9.3,30.411
5,3.21,9.3,29.853
6,3.27,9.3,30.411
5,3.25,9.5,30.875
6,3.32,10.5,34.86
4,3.43,11.3,38.75900000000001
5,3.27,9.5,31.065
5,3.27,9.7,31.718999999999998
5,3.24,9.4,30.456000000000003
5,3.24,9.4,30.456000000000003
7,3.35,10.2,34.17
6,3.18,10.3,32.754000000000005
5,3.39,9.4,31.866000000000003
5,3.46,9.5,32.87
5,3.39,9.4,31.866000000000003
5,3.46,9.5,32.87
5,3.39,9.4,31.866000000000003
7,3.37,10.1,34.037
5,3.4,10.1,34.339999999999996
4,3.32,11,36.519999999999996
7,3.33,11.2,37.296
6,3.16,11.3,35.708000000000006
5,2.89,9.6,27.744
5,3.41,11.2,38.192
5,2.98,14.9,44.402
6,3.12,12,37.44
5,3.08,9.5,29.26
5,3.14,9.4,29.516000000000002
5,2.89,9.6,27.744
7,2.92,10.5,30.66
6,3.32,9.6,31.871999999999996
4,3.41,11,37.510000000000005
6,3.32,9.6,31.871999999999996
5,3.31,9,29.79
6,3.36,9.6,32.256
6,3.04,10.2,31.008
5,3.03,10.2,30.905999999999995
5,3.14,9.7,30.458
6,3.18,9.5,30.21
6,2.94,9.2,27.048
5,3.15,11,34.65
6,2.94,9.2,27.048
5,3.26,10,32.599999999999994
5,3.2,9.5,30.400000000000002
5,3.15,9.5,29.925
5,3.2,9.5,30.400000000000002
6,3.08,9.3,28.644000000000002
5,3.26,10.2,33.251999999999995
6,3.08,9.3,28.644000000000002
5,3.4,9.9,33.660000000000004
5,3.48,10,34.8
5,3.13,9.6,30.048
5,3.06,9,27.54
6,3.21,10.2,32.742
5,3.33,9.8,32.634
5,3.37,11.3,38.081
5,3.25,9.4,30.55
5,3.37,11.3,38.081
5,3.44,9.1,31.304
5,3.28,9.7,31.815999999999995
5,3.4,9.4,31.96
5,3.3,9.4,31.02
3,3.63,10.7,38.840999999999994
5,3.48,9.8,34.104
5,3.03,9,27.27
5,3.32,9.4,31.208
5,3.31,9.4,31.114
6,3.9,12.8,49.92
6,3.47,9.5,32.965
6,3.47,9.5,32.965
5,3.31,9.7,32.107
6,3.11,10.8,33.588
6,3.08,10.1,31.108
6,3.47,9.5,32.965
6,3.47,9.4,32.618
4,3.32,9.6,31.871999999999996
4,3.29,9.7,31.912999999999997
5,3.37,9.9,33.363
5,3.4,10,34
5,3.37,10.5,35.385
6,3.34,11.6,38.744
6,3.27,10,32.7
5,3.06,10.1,30.906
5,3.38,9.5,32.11
5,3.36,9.4,31.584
5,3.34,9.4,31.396
5,3.28,9.8,32.144
6,3.29,9.2,30.267999999999997
5,3.34,9.4,31.396
5,3.21,10,32.1
5,3.22,9.6,30.912
5,3.46,9.5,32.87
5,3.22,9.6,30.912
5,3.1,9.2,28.52
5,3.21,10,32.1
5,2.94,9.5,27.93
4,3.54,11.2,39.647999999999996
5,3.29,10.4,34.216
6,3.43,11.1,38.073
5,3.46,9.5,32.87
5,3.46,9.5,32.87
6,3.61,12.7,45.846999999999994
5,3.17,9.6,30.432
5,3.44,11.5,39.56
5,3.39,9.6,32.544
5,3.55,9.5,33.725
5,3.48,9.3,32.364000000000004
5,3.26,9.5,30.97
5,3.26,9.5,30.97
6,3.5,9.3,32.550000000000004
5,3.1,9.2,28.52
5,3.35,9.3,31.155000000000005
6,3.45,11.5,39.675000000000004
5,3.21,9.5,30.495
5,3.46,9.2,31.831999999999997
5,3.13,10,31.299999999999997
5,3.13,9.5,29.735
6,3.52,9.5,33.44
6,3.3,9,29.7
5,3.3,9.4,31.02
6,3.52,9.6,33.792
6,3.52,9.5,33.44
5,3.29,9.5,31.255
5,3.29,9.5,31.255
5,3.39,9.4,31.866000000000003
5,3.29,9.5,31.255
6,3.09,9.1,28.118999999999996
6,3.51,10.7,37.556999999999995
6,3.6,11.2,40.32
5,3.25,9.8,31.85
5,3.25,9.8,31.85
5,3.19,9.2,29.348
5,3.23,9.7,31.330999999999996
5,3.25,9.6,31.2
6,3.31,10,33.1
5,3.25,9.6,31.2
6,3.31,9.5,31.445
6,3.31,9.5,31.445
5,3.14,9.4,29.516000000000002
5,3.45,9.5,32.775
6,3.55,9.7,34.434999999999995
5,3.39,9.6,32.544
6,3.55,9.7,34.434999999999995
5,3.28,9.4,30.832
5,3.27,9.4,30.738000000000003
6,3.3,9.5,31.349999999999998
6,3.31,9.5,31.445
5,3.43,10,34.300000000000004
6,3.4,10.3,35.02
6,3.4,10.3,35.02
5,3.36,10.5,35.28
5,3.5,9.8,34.300000000000004
6,3.31,9.4,31.114
5,3.66,9.8,35.868
5,3.36,10,33.6
5,3.66,9.8,35.868
5,3.55,9.8,34.79
5,3.21,9.5,30.495
5,3.21,9.5,30.495
6,3.18,10.1,32.118
6,3.18,10.1,32.118
5,3.09,9.3,28.737000000000002
6,3.33,9.7,32.300999999999995
5,3.23,9.6,31.008
6,3.48,9.7,33.756
5,3.38,10.8,36.504
6,3.17,12.5,39.625
5,2.99,10.2,30.498
5,3.1,9.6,29.759999999999998
7,3.24,10.8,34.992000000000004
6,3.29,10.7,35.202999999999996
6,3.29,10.7,35.202999999999996
5,3.25,9.4,30.55
5,3.23,10,32.3
7,3.56,12.9,45.924
6,3.24,9.6,31.104
6,3.26,9.9,32.274
7,3.33,12.8,42.624
7,3.27,12.5,40.875
7,3.33,12.8,42.624
5,3.26,9.2,29.991999999999997
6,3.22,10.3,33.166000000000004
5,3.3,10.5,34.65
6,3.09,10.9,33.681
5,3.24,10.8,34.992000000000004
4,3.44,11.4,39.216
6,3.21,11.3,36.273
5,3.24,10.8,34.992000000000004
6,3.23,10.5,33.915
6,3.28,11.9,39.032
5,3.29,9.4,30.926000000000002
5,3.28,9.6,31.487999999999996
5,3.34,9.7,32.397999999999996
7,3.71,14,51.94
5,3.61,9.8,35.378
5,3.61,9.8,35.378
5,3.24,10.3,33.37200000000001
5,3.36,10.7,35.952
7,3.4,11,37.4
5,3.36,10.7,35.952
8,3.46,12.7,43.942
6,3.56,11.1,39.516
4,3.38,10.9,36.842
6,3.56,11.1,39.516
3,3.38,9.9,33.462
4,3.38,9.9,33.462
5,3.32,9.4,31.208
5,3.39,9.3,31.527000000000005
7,3.26,11.7,38.141999999999996
7,3.26,11.7,38.141999999999996
7,3.24,11.2,36.288
5,3.46,10,34.6
7,3.24,12.1,39.204
5,3.45,10.3,35.535000000000004
6,3.23,10.9,35.207
5,3.28,9.4,30.832
6,3.18,10.6,33.708
5,3.59,9.8,35.182
5,3.59,9.8,35.182
6,3.5,9.9,34.65
5,3.59,9.8,35.182
5,3.58,9.8,35.084
5,3.28,9.5,31.159999999999997
5,3.28,9.5,31.159999999999997
5,3.22,9.7,31.233999999999998
6,3.47,10.9,37.823
6,3.47,10.9,37.823
7,3.51,11.7,41.06699999999999
6,3.47,10.9,37.823
7,3.4,11.3,38.42
7,3.15,10.6,33.39
6,3.4,11.2,38.08
5,3.51,9.5,33.345
6,3.66,11.5,42.09
5,3.24,10.4,33.696000000000005
5,3.51,9.7,34.047
5,3.51,9.5,33.345
5,3.51,9.7,34.047
6,3.41,11.3,38.533
6,3.4,11.2,38.08
6,3.4,11.2,38.08
6,3.44,10.9,37.496
6,3.41,11.8,40.23800000000001
5,3.53,10.6,37.418
4,3.43,10,34.300000000000004
7,3.23,11.1,35.853
7,3.12,11.8,36.816
7,3.31,11.8,39.058
4,3.4,10.9,37.06
6,3.41,11.8,40.23800000000001
6,3.22,10,32.2
5,3.53,9.5,33.535
5,3.15,9.9,31.185
6,3.48,11.4,39.672000000000004
6,3.22,12,38.64
5,3.53,9.5,33.535
6,3.22,10,32.2
5,3.34,10.5,35.07
6,3.33,10.4,34.632000000000005
7,3.15,12.1,38.114999999999995
6,3.43,11.2,38.416
5,3.22,9.3,29.946000000000005
5,3.44,10.1,34.744
5,3.53,9.7,34.24099999999999
6,3.22,9.3,29.946000000000005
5,3.53,9.7,34.24099999999999
6,3.53,9.8,34.594
6,3.42,10.7,36.593999999999994
7,3.31,12.5,41.375
6,3.42,10.7,36.593999999999994
7,3.31,12.5,41.375
3,3.48,11,38.28
5,3.4,11.8,40.120000000000005
7,3.58,10.8,38.664
7,3.58,10.8,38.664
7,3.41,10.8,36.828
7,3.41,10.8,36.828
5,3.23,9.5,30.685
5,3.39,11,37.29
6,3.59,11.5,41.285
6,3.43,10.8,37.044000000000004
6,3.29,11.5,37.835
6,3.23,13.2,42.635999999999996
6,3.18,10.9,34.662000000000006
6,3.33,12.2,40.626
7,3.27,12.2,39.894
6,3.29,11.5,37.835
6,3.27,11.9,38.913000000000004
5,3.62,11,39.82
6,3.38,10.1,34.138
6,3.3,11,36.3
6,3.38,11.8,39.884
5,3.24,10.5,34.02
6,3.3,11,36.3
6,3.38,11.8,39.884
6,3.38,10.1,34.138
5,3.18,11.2,35.616
7,3.47,11,38.17
6,3.47,10.2,35.394
4,3.2,9.2,29.439999999999998
